date,index_type,index_norm
2017-11-01,Essentials,101.49247196034148
2017-12-01,Essentials,101.65826320993638
2018-01-01,Essentials,101.81046443550335
2018-02-01,Essentials,102.01202068015054
2018-03-01,Essentials,102.24078129233011
2018-04-01,Essentials,102.39844107005042
2018-05-01,Essentials,102.50263097432662
2018-06-01,Essentials,102.64324365392832
2018-07-01,Essentials,102.81067840657884
2018-08-01,Essentials,102.96279915315756
2018-09-01,Essentials,103.11190456748072
2018-10-01,Essentials,103.30292968938552
2018-11-01,Essentials,103.6472461099773
2018-12-01,Essentials,103.90974933256408
2019-01-01,Essentials,104.05925709687448
2019-02-01,Essentials,104.22279736942019
2019-03-01,Essentials,104.38235887327983
2019-04-01,Essentials,104.53702493669283
2019-05-01,Essentials,104.66830522864909
2019-06-01,Essentials,104.75079987818596
2019-07-01,Essentials,104.89173059001367
2019-08-01,Essentials,105.06583766190285
2019-09-01,Essentials,105.25624505158196
2019-10-01,Essentials,105.5487651106155
2019-11-01,Essentials,105.66720633051668
2019-12-01,Essentials,105.94716292486682
2020-01-01,Essentials,106.16794126525977
2020-02-01,Essentials,106.40260974861052
2020-03-01,Essentials,106.56010984387925
2020-04-01,Essentials,107.24566271548117
2020-05-01,Essentials,107.46852506685778
2020-06-01,Essentials,107.56152502895682
2020-07-01,Essentials,107.56082170541706
2020-08-01,Essentials,107.81470556519201
2020-09-01,Essentials,108.1290037423524
2020-10-01,Essentials,108.36683731900294
2020-11-01,Essentials,108.47444962849755
2020-12-01,Essentials,108.59418183310406
2021-01-01,Essentials,108.88047547828985
2021-02-01,Essentials,109.30123853413771
2021-03-01,Essentials,109.51878426434583
2021-04-01,Essentials,110.13227167258786
2021-05-01,Essentials,110.6705065809087
2021-06-01,Essentials,111.35090274774315
2021-07-01,Essentials,111.80857261305688
2021-08-01,Essentials,112.03321398682702
2021-09-01,Essentials,112.37716000051871
2021-10-01,Essentials,113.03585029903853
2021-11-01,Essentials,113.77407385693803
2021-12-01,Essentials,114.41850922958412
2022-01-01,Essentials,115.17592053883341
2022-02-01,Essentials,115.73968180383464
2022-03-01,Essentials,116.47129520233952
2022-04-01,Essentials,117.03350735463897
2022-05-01,Essentials,117.82451855674148
2022-06-01,Essentials,118.8555648643612
2022-07-01,Essentials,119.34630337317871
2022-08-01,Essentials,120.09378397016678
2022-09-01,Essentials,120.72725693850526
2022-10-01,Essentials,121.17445198916079
2022-11-01,Essentials,121.38631182301576
2022-12-01,Essentials,121.90178524852145
2023-01-01,Essentials,122.44005626450804
2023-02-01,Essentials,122.79743614951389
2023-03-01,Essentials,123.08058709798348
2023-04-01,Essentials,123.47216610258731
2023-05-01,Essentials,123.90592945519126
2023-06-01,Essentials,124.10688842455917
2023-07-01,Essentials,124.52619113830279
2023-08-01,Essentials,124.73278164187545
2023-09-01,Essentials,124.97779660197948
2023-10-01,Essentials,125.33792007256632
2023-11-01,Essentials,125.78030395389455
2023-12-01,Essentials,125.96722287255086
2024-01-01,Essentials,126.44526143045141
2024-02-01,Essentials,126.81719777319589
2024-03-01,Essentials,127.21238454743819
2024-04-01,Essentials,127.28020006617677
2024-05-01,Essentials,127.54470005145133
2024-06-01,Essentials,127.65692988056504
2024-07-01,Essentials,127.81784836926992
2024-08-01,Essentials,128.0815730328671
2024-09-01,Essentials,128.63211173636435
2024-10-01,Essentials,129.0825379204201
2024-11-01,Essentials,129.32964237421177
2024-12-01,Essentials,129.8248759614253
2025-01-01,Essentials,130.18940275780554
2025-02-01,Essentials,130.50814039767147
2025-03-01,Essentials,130.82421749665673
2025-04-01,Essentials,131.17337663687124
2025-05-01,Essentials,131.3993723478584
2025-06-01,Essentials,131.75997964765003
2025-07-01,Essentials,131.9613820191331
2025-08-01,Essentials,132.3945045107583
2025-09-01,Essentials,132.6411320154212
2025-10-01,Essentials,132.94742407329753
2025-11-01,Essentials,133.12822273306125
2010-01-01,Overall PCE,90.63357834511469
2010-02-01,Overall PCE,90.63156730450173
2010-03-01,Overall PCE,90.75926838342501
2010-04-01,Overall PCE,90.80853887844266
2010-05-01,Overall PCE,90.83769896733065
2010-06-01,Overall PCE,90.79948919568432
2010-07-01,Overall PCE,90.87691425928347
2010-08-01,Overall PCE,91.00159877728731
2010-09-01,Overall PCE,91.09209560487075
2010-10-01,Overall PCE,91.38269097344421
2010-11-01,Overall PCE,91.56469014891756
2010-12-01,Overall PCE,91.77182733205298
2011-01-01,Overall PCE,92.04733989602921
2011-02-01,Overall PCE,92.30374757418225
2011-03-01,Overall PCE,92.67478456727434
2011-04-01,Overall PCE,93.06794300710904
2011-05-01,Overall PCE,93.35049421323063
2011-06-01,Overall PCE,93.33138932740748
2011-07-01,Overall PCE,93.49026153583173
2011-08-01,Overall PCE,93.71047048295141
2011-09-01,Overall PCE,93.84219364310063
2011-10-01,Overall PCE,93.84420468371358
2011-11-01,Overall PCE,94.03625906225176
2011-12-01,Overall PCE,94.09055715880183
2012-01-01,Overall PCE,94.41232365687627
2012-02-01,Overall PCE,94.6234829212376
2012-03-01,Overall PCE,94.80447657640447
2012-04-01,Overall PCE,94.92916109440831
2012-05-01,Overall PCE,94.82257594192116
2012-06-01,Overall PCE,94.77431096721
2012-07-01,Overall PCE,94.8084986576304
2012-08-01,Overall PCE,95.12724859478539
2012-09-01,Overall PCE,95.41683844305237
2012-10-01,Overall PCE,95.69938964917398
2012-11-01,Overall PCE,95.63403082925261
2012-12-01,Overall PCE,95.61894802465535
2013-01-01,Overall PCE,95.80094720012872
2013-02-01,Overall PCE,96.14181858402631
2013-03-01,Overall PCE,96.0151230254095
2013-04-01,Overall PCE,95.9175875556807
2013-05-01,Overall PCE,95.98797397713447
2013-06-01,Overall PCE,96.20114428210879
2013-07-01,Overall PCE,96.32080119858021
2013-08-01,Overall PCE,96.46358508210074
2013-09-01,Overall PCE,96.50581693497301
2013-10-01,Overall PCE,96.63351801389629
2013-11-01,Overall PCE,96.7773074177233
2013-12-01,Overall PCE,96.9462348292124
2014-01-01,Overall PCE,97.1473388905089
2014-02-01,Overall PCE,97.1935928246071
2014-03-01,Overall PCE,97.3494484721119
2014-04-01,Overall PCE,97.52239796482691
2014-05-01,Overall PCE,97.68328121386412
2014-06-01,Overall PCE,97.78986636635128
2014-07-01,Overall PCE,97.92862816864589
2014-08-01,Overall PCE,97.91656192496808
2014-09-01,Overall PCE,97.95074961538849
2014-10-01,Overall PCE,97.9215895265005
2014-11-01,Overall PCE,97.82807613799761
2014-12-01,Overall PCE,97.6561321655891
2015-01-01,Overall PCE,97.1875597027682
2015-02-01,Overall PCE,97.35950367517673
2015-03-01,Overall PCE,97.54351389126303
2015-04-01,Overall PCE,97.62998863762053
2015-05-01,Overall PCE,97.864274869031
2015-06-01,Overall PCE,98.0543182069562
2015-07-01,Overall PCE,98.14380951423315
2015-08-01,Overall PCE,98.15084815637853
2015-09-01,Overall PCE,98.01510291500338
2015-10-01,Overall PCE,98.01510291500338
2015-11-01,Overall PCE,98.07643965369881
2015-12-01,Overall PCE,97.99398698856724
2016-01-01,Overall PCE,98.03420780082654
2016-02-01,Overall PCE,97.98292626519593
2016-03-01,Overall PCE,98.21218489507396
2016-04-01,Overall PCE,98.53395139314839
2016-05-01,Overall PCE,98.69483464218561
2016-06-01,Overall PCE,98.86778413490062
2016-07-01,Overall PCE,98.88487798011082
2016-08-01,Overall PCE,99.02263426209893
2016-09-01,Overall PCE,99.21066655941118
2016-10-01,Overall PCE,99.41378166132066
2016-11-01,Overall PCE,99.44696383143457
2016-12-01,Overall PCE,99.61790228353662
2017-01-01,Overall PCE,100
2017-02-01,Overall PCE,100.13574524137516
2017-03-01,Overall PCE,100.08446370574453
2017-04-01,Overall PCE,100.27551256397622
2017-05-01,Overall PCE,100.2322751907975
2017-06-01,Overall PCE,100.31673889654202
2017-07-01,Overall PCE,100.35394314788189
2017-08-01,Overall PCE,100.57917969653398
2017-09-01,Overall PCE,100.95423877085199
2017-10-01,Overall PCE,101.08596193100121
2017-11-01,Overall PCE,101.23075685513467
2017-12-01,Overall PCE,101.37756281988115
2018-01-01,Overall PCE,101.75764949573156
2018-02-01,Overall PCE,101.97584740223829
2018-03-01,Overall PCE,102.08444359533841
2018-04-01,Overall PCE,102.3277795095072
2018-05-01,Overall PCE,102.50374556314168
2018-06-01,Overall PCE,102.59223135011213
2018-07-01,Overall PCE,102.70082754321224
2018-08-01,Overall PCE,102.77221948497251
2018-09-01,Overall PCE,102.98337874933385
2018-10-01,Overall PCE,103.16135584358126
2018-11-01,Overall PCE,103.19654905430815
2018-12-01,Overall PCE,103.26794099606842
2019-01-01,Overall PCE,103.21464841982484
2019-02-01,Overall PCE,103.40368623744357
2019-03-01,Overall PCE,103.63797246885402
2019-04-01,Overall PCE,103.93057887804045
2019-05-01,Overall PCE,104.00599290102666
2019-06-01,Overall PCE,104.0552633960443
2019-07-01,Overall PCE,104.19402519833889
2019-08-01,Overall PCE,104.24229017305005
2019-09-01,Overall PCE,104.30563795235845
2019-10-01,Overall PCE,104.49065368875128
2019-11-01,Overall PCE,104.59824436154489
2019-12-01,Overall PCE,104.88280660827947
2020-01-01,Overall PCE,105.06681682436576
2020-02-01,Overall PCE,105.15027500980383
2020-03-01,Overall PCE,104.84660787724609
2020-04-01,Overall PCE,104.41121758453913
2020-05-01,Overall PCE,104.51579169641332
2020-06-01,Overall PCE,104.84560235693961
2020-07-01,Overall PCE,105.15530261133625
2020-08-01,Overall PCE,105.44891454082916
2020-09-01,Overall PCE,105.6369468381414
2020-10-01,Overall PCE,105.73146574695076
2020-11-01,Overall PCE,105.83905641974441
2020-12-01,Overall PCE,106.28249087490322
2021-01-01,Overall PCE,106.73296397220744
2021-02-01,Overall PCE,107.08791264039579
2021-03-01,Overall PCE,107.64497089018714
2021-04-01,Overall PCE,108.2120843430433
2021-05-01,Overall PCE,108.77215915375412
2021-06-01,Overall PCE,109.36038853304643
2021-07-01,Overall PCE,109.8591266050618
2021-08-01,Overall PCE,110.27943409317153
2021-09-01,Overall PCE,110.64142140350526
2021-10-01,Overall PCE,111.37344018662458
2021-11-01,Overall PCE,112.11551417280872
2021-12-01,Overall PCE,112.8103287045882
2022-01-01,Overall PCE,113.42771817276851
2022-02-01,Overall PCE,114.09739469688591
2022-03-01,Overall PCE,115.10090396275552
2022-04-01,Overall PCE,115.44579742787906
2022-05-01,Overall PCE,116.16273340640116
2022-06-01,Overall PCE,117.28187750751628
2022-07-01,Overall PCE,117.2748388653709
2022-08-01,Overall PCE,117.60163296497774
2022-09-01,Overall PCE,118.01892389216802
2022-10-01,Overall PCE,118.56994902012046
2022-11-01,Overall PCE,118.87663271359766
2022-12-01,Overall PCE,119.03751596263487
2023-01-01,Overall PCE,119.67501583694484
2023-02-01,Overall PCE,120.02795346452022
2023-03-01,Overall PCE,120.19788639631577
2023-04-01,Overall PCE,120.61316628289309
2023-05-01,Overall PCE,120.81326482388313
2023-06-01,Overall PCE,121.13402580165106
2023-07-01,Overall PCE,121.27278760394566
2023-08-01,Overall PCE,121.63779147519884
2023-09-01,Overall PCE,122.08927009280953
2023-10-01,Overall PCE,122.1546289127309
2023-11-01,Overall PCE,122.16367859548924
2023-12-01,Overall PCE,122.33160048667185
2024-01-01,Overall PCE,122.90474706136692
2024-02-01,Overall PCE,123.27477853415249
2024-03-01,Overall PCE,123.71720746900483
