qtr_date,cpi,pi,pi_l1,pi_l2,core_pce,core_pce_pi,core_pce_pi_l1,core_pce_pi_l2,exp_pi10,unrate,nairu,unrate_gap,unemp,job_open,v_u,gscpi,good4u_views,good4u_views_norm,good4u_views_log,y2021_2022
2006-07-01,203.16666666666666,3.7583726594352385,3.5934362449882684,2.0775786003692787,84.427,2.1488358405154173,3.173829111764448,2.3096726271411683,2.6344,4.633333333333334,5.012244536,-0.3789112026666661,7037.666666666667,4613.666666666667,0.6561540917532048,-0.2197452430994186,0.0,0.0,0.0,0
2006-10-01,202.33333333333334,-1.6440631447313336,3.7583726594352385,3.5934362449882684,84.79066666666667,1.7192872763967415,2.1488358405154173,3.173829111764448,2.5789,4.433333333333334,5.0131638910000005,-0.5798305576666669,6787.0,4618.666666666667,0.68054491431429,-0.40031736378881416,0.0,0.0,0.0,0
2007-01-01,204.317,3.9024827738465717,-1.6440631447313336,3.7583726594352385,85.37533333333333,2.74869935180142,1.7192872763967415,2.1488358405154173,2.4105,4.5,5.0141584980000005,-0.5141584980000005,6924.666666666667,4808.0,0.6949609666845813,-0.7236271722436661,0.0,0.0,0.0,0
2007-04-01,206.631,4.5047538024434175,3.9024827738465717,-1.6440631447313336,85.73066666666666,1.6613507142512418,2.74869935180142,1.7192872763967415,2.4718,4.5,5.015159963,-0.5151599630000003,6865.0,4735.0,0.6896838374953971,-0.5363653712509607,0.0,0.0,0.0,0
2007-07-01,207.939,2.524069450641875,4.5047538024434175,3.9024827738465717,86.15166666666666,1.9594839504094352,1.6613507142512418,2.74869935180142,2.4586,4.666666666666667,5.016093422,-0.349426755333333,7128.666666666667,4598.666666666667,0.6450843083875921,-0.1878467135794294,0.0,0.0,0.0,0
2007-10-01,210.4896666666667,4.876717995709612,2.524069450641875,4.5047538024434175,86.74733333333332,2.7561479170152836,1.9594839504094352,1.6613507142512418,2.4868,4.8,5.016878297,-0.21687829700000005,7374.0,4609.0,0.6256052842747116,-0.40948333467043146,0.0,0.0,0.0,0
2008-01-01,212.76966666666667,4.309456399802514,4.876717995709612,2.524069450641875,87.20666666666666,2.1124407643469567,2.7561479170152836,1.9594839504094352,2.5225,5.0,5.017429226,-0.017429225999999964,7668.0,4376.0,0.5708654769670556,0.085531743701446,0.0,0.0,0.0,0
2008-04-01,215.5376666666667,5.170191255639978,4.309456399802514,4.876717995709612,87.573,1.6767802651994401,2.1124407643469567,2.7561479170152836,2.5784,5.333333333333333,5.017657154,0.3156761793333329,8202.333333333334,4019.6666666666665,0.49152638118809816,0.09825039043727544,0.0,0.0,0.0,0
2008-07-01,218.861,6.120457409684477,5.170191255639978,4.309456399802514,88.02,2.0365320511899654,1.6767802651994401,2.1124407643469567,2.5129,6.0,5.0174705610000006,0.9825294389999994,9289.666666666666,3548.3333333333335,0.3827138746418872,0.25021301523482,0.0,0.0,0.0,0
2008-10-01,213.84866666666667,-9.267290142872397,6.120457409684477,5.170191255639978,87.95066666666666,-0.31520406547045354,2.0365320511899654,1.6767802651994401,2.5951,6.866666666666667,5.016776812,1.8498898546666673,10632.666666666666,3251.3333333333335,0.3068588273592831,-1.0725270280955037,0.0,0.0,0.0,0
2009-01-01,212.37766666666667,-2.7609853738539414,-9.267290142872397,6.120457409684477,87.94966666666666,-0.0045480300396860684,-0.31520406547045354,2.0365320511899654,2.4086,8.266666666666667,5.015483596,3.2511830706666673,12794.0,2712.0,0.21261912165036687,-0.21606672505568172,0.0,0.0,0.0,0
2009-04-01,213.50699999999998,2.1213930789812707,-2.7609853738539414,-9.267290142872397,88.294,1.5629895948606531,-0.0045480300396860684,-0.31520406547045354,2.4741,9.299999999999999,5.013500434,4.286499565999999,14353.0,2449.0,0.1705547932536228,0.23055600480395233,0.0,0.0,0.0,0
2009-07-01,215.34399999999997,3.426852189965146,2.1213930789812707,-2.7609853738539414,88.60733333333333,1.416987221518795,1.5629895948606531,-0.0045480300396860684,2.5528,9.633333333333333,5.01074023,4.622593103333333,14808.0,2352.3333333333335,0.15879683399761393,-0.7823718848219712,0.0,0.0,0.0,0
2009-10-01,217.03,3.1195373366138313,3.426852189965146,2.1213930789812707,89.15933333333334,2.4841632440153916,1.416987221518795,1.5629895948606531,2.3511,9.933333333333334,5.0071208160000005,4.926212517333333,15223.0,2492.3333333333335,0.16375882514761833,-0.6177054320243954,0.0,0.0,0.0,0
2010-01-01,217.37400000000002,0.6335117943780944,3.1195373366138313,3.426852189965146,89.46433333333333,1.366001726903221,2.4841632440153916,1.416987221518795,2.3937,9.833333333333334,5.0025664789999995,4.830766854333334,15120.333333333334,2727.3333333333335,0.18039544333255364,-0.034772121312095505,0.0,0.0,0.0,0
2010-04-01,217.29733333333334,-0.1411027810345189,0.6335117943780944,3.1195373366138313,89.70533333333333,1.0760756542293137,1.366001726903221,2.4841632440153916,2.4232,9.633333333333333,4.997009431,4.6363239023333325,14882.666666666666,2980.6666666666665,0.200162445702591,0.23561904329884353,0.0,0.0,0.0,0
2010-07-01,217.93433333333334,1.1708715217650933,-0.1411027810345189,0.6335117943780944,89.84333333333335,0.6148751967291588,1.0760756542293137,1.366001726903221,2.3341,9.466666666666667,4.9903911910000005,4.476275475666666,14579.666666666666,2999.6666666666665,0.2057549049571851,0.21530968187593091,0.0,0.0,0.0,0
2010-10-01,219.69899999999998,3.2258534192731503,1.1708715217650933,-0.1411027810345189,90.12733333333334,1.2624289991201465,0.6148751967291588,1.0760756542293137,2.3464,9.5,4.982663843,4.517336157,14648.333333333334,3168.0,0.21630173392188567,0.6126505103912273,0.0,0.0,0.0,0
2011-01-01,222.04366666666667,4.246252603147482,3.2258534192731503,1.1708715217650933,90.52300000000001,1.7521907302608497,1.2624289991201465,0.6148751967291588,2.2907,9.033333333333333,4.973791157,4.059542176333333,13856.666666666666,3197.0,0.23077549567463695,0.6295824769480362,0.0,0.0,0.0,0
2011-04-01,224.56833333333336,4.522392698120115,4.246252603147482,3.2258534192731503,91.05233333333332,2.3321882907563207,1.7521907302608497,1.2624289991201465,2.5739,9.066666666666666,4.963749528999999,4.102917137666667,13924.666666666666,3297.6666666666665,0.23680271295311672,0.9232542998457293,0.0,0.0,0.0,0
2011-07-01,226.03266666666664,2.5997962511315365,4.522392698120115,4.246252603147482,91.468,1.8219006186775744,2.3321882907563207,1.7521907302608497,2.5334,9.0,4.95252874,4.04747126,13843.0,3575.3333333333335,0.25824536536739623,-0.12085020342991674,0.0,0.0,0.0,0
2011-10-01,227.04733333333334,1.7915924127450467,2.5997962511315365,4.522392698120115,91.794,1.423100670579558,1.8219006186775744,2.3321882907563207,2.4878,8.633333333333333,4.940132488,3.693200845333333,13329.666666666666,3650.6666666666665,0.27400418998373216,-0.09078335909730396,0.0,0.0,0.0,0
2012-01-01,228.32600000000002,2.2463678633322104,1.7915924127450467,2.5997962511315365,92.37333333333333,2.5165602770652384,1.423100670579558,1.8219006186775744,2.488,8.266666666666667,4.926578709,3.3400879576666673,12774.333333333334,3834.6666666666665,0.3002207670890347,0.0139077922872299,0.0,0.0,0.0,0
2012-04-01,228.808,0.8435166557223539,2.2463678633322104,1.7915924127450467,92.75533333333333,1.6507461498299847,2.5165602770652384,1.423100670579558,2.4388,8.2,4.911899646,3.288100353999999,12666.0,3846.3333333333335,0.30366873129781813,-0.5646713081297986,0.0,0.0,0.0,0
2012-07-01,229.841,1.801816633996367,0.8435166557223539,2.2463678633322104,93.02333333333333,1.1540622643664733,1.6507461498299847,2.5165602770652384,2.448,8.033333333333333,4.89614169,3.137191643333333,12414.0,3808.6666666666665,0.3069915849652153,-0.36030137940906054,0.0,0.0,0.0,0
2012-10-01,231.36933333333332,2.6510055253705644,1.801816633996367,0.8435166557223539,93.43466666666666,1.7648328335621244,1.1540622643664733,1.6507461498299847,2.34,7.8,4.879364966,2.920635034,12142.333333333334,3874.3333333333335,0.3190715579942187,-0.16775149775396328,0.0,0.0,0.0,0
2013-01-01,232.29933333333335,1.6045962369119593,2.6510055253705644,1.801816633996367,93.79966666666667,1.5595450080951423,1.7648328335621244,1.1540622643664733,2.3262,7.733333333333333,4.861642687,2.8716906463333336,12036.666666666666,4001.0,0.3327788243684772,-0.3206602151836147,0.0,0.0,0.0,0
2013-04-01,232.045,-0.4381806181481096,1.6045962369119593,2.6510055253705644,94.06433333333332,1.1270571978375443,1.5595450080951423,1.7648328335621244,2.2767,7.533333333333334,4.843060274,2.690273059333334,11721.666666666666,4094.3333333333335,0.3493163172155156,-0.753563009958314,0.0,0.0,0.0,0
2013-07-01,233.29999999999998,2.1575442610846096,-0.4381806181481096,1.6045962369119593,94.43433333333333,1.570304901288111,1.1270571978375443,1.5595450080951423,2.216,7.233333333333333,4.823714263,2.409619070333333,11294.666666666666,4032.6666666666665,0.3570677924015846,-0.5013438389130224,0.0,0.0,0.0,0
2013-10-01,234.1626666666667,1.476340606390636,2.1575442610846096,-0.4381806181481096,94.84133333333334,1.72024490824505,1.570304901288111,1.1270571978375443,2.2195,6.933333333333334,4.8037110069999995,2.129622326333334,10775.666666666666,4154.0,0.38569230774764146,-0.45774884178460695,0.0,0.0,0.0,0
2014-01-01,235.621,2.483420554998972,1.476340606390636,2.1575442610846096,95.141,1.2618727644106542,1.72024490824505,1.570304901288111,2.2944,6.666666666666667,4.7831652039999994,1.8835014626666675,10310.333333333334,4296.0,0.41660581943652164,-0.5143084423850134,0.0,0.0,0.0,0
2014-04-01,236.87233333333333,2.118694458709669,2.483420554998972,1.476340606390636,95.55633333333333,1.742379855217635,1.2618727644106542,1.72024490824505,2.2767,6.2,4.762198273,1.437801727,9673.666666666666,4765.0,0.4929173620366955,-0.7844370760702022,0.0,0.0,0.0,0
2014-07-01,237.47833333333332,1.0220292661418995,2.118694458709669,2.483420554998972,95.91533333333332,1.4999625873922895,1.742379855217635,1.2618727644106542,2.2743,6.066666666666666,4.740936606,1.3257300606666664,9489.666666666666,5036.333333333333,0.5307239531155062,-0.7557287599580023,0.0,0.0,0.0,0
2014-10-01,236.88833333333332,-0.9950114047924785,1.0220292661418995,2.118694458709669,96.17533333333334,1.082822661978966,1.4999625873922895,1.742379855217635,2.1881,5.7,4.719509728999999,0.9804902710000007,8932.333333333334,4995.0,0.5595989468721322,-0.656662668747236,0.0,0.0,0.0,0
