
bls_area_name,bls_target,census_area_name,match_score,method
"Grand Rapids-Wyoming-Kentwood, MI","Grand Rapids-Wyoming-Kentwood, MI","Grand Rapids-Wyoming-Kentwood, MI",100.0,exact
"Jackson, MI","Jackson, MI","Jackson, MI",100.0,exact
"Kalamazoo-Portage, MI","Kalamazoo-Portage, MI","Kalamazoo-Portage, MI",100.0,exact
"Lansing-East Lansing, MI","Lansing-East Lansing, MI","Lansing-East Lansing, MI",100.0,exact
"Midland, MI","Midland, MI","Midland, MI",100.0,exact
"Monroe, MI","Monroe, MI","Monroe, MI",100.0,exact
"Muskegon-Norton Shores, MI","Muskegon-Norton Shores, MI","Muskegon-Norton Shores, MI",100.0,exact
"Niles, MI","Niles, MI","Niles, MI",100.0,exact
"Saginaw, MI","Saginaw, MI","Saginaw, MI",100.0,exact
"Traverse City, MI","Traverse City, MI","Traverse City, MI",100.0,exact
"Warren-Troy-Farmington Hills, MI Metropolitan Division","Detroit-Warren-Dearborn, MI","Detroit-Warren-Dearborn, MI",100.0,exact
"Duluth, MN-WI","Duluth, MN-WI","Duluth, MN-WI Metro Area, MN",100.0,add metro area
"Mankato, MN","Mankato, MN","Mankato, MN",100.0,exact
"Minneapolis-St. Paul-Bloomington, MN-WI","Minneapolis-St. Paul-Bloomington, MN-WI","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area, MN",100.0,add metro area
"Rochester, MN","Rochester, MN","Rochester, MN",100.0,exact
"St. Cloud, MN","St. Cloud, MN","St. Cloud, MN",100.0,exact
"Gulfport-Biloxi, MS","Gulfport-Biloxi, MS","Gulfport-Biloxi, MS",100.0,exact
"Hattiesburg, MS","Hattiesburg, MS","Hattiesburg, MS",100.0,exact
"Jackson, MS","Jackson, MS","Jackson, MS",100.0,exact
"Cape Girardeau, MO-IL","Cape Girardeau, MO-IL","Cape Girardeau, MO-IL Metro Area, MO",100.0,add metro area
"Columbia, MO","Columbia, MO","Columbia, MO",100.0,exact
"Jefferson City, MO","Jefferson City, MO","Jefferson City, MO",100.0,exact
"Joplin, MO-KS","Joplin, MO-KS","Joplin, MO-KS Metro Area, MO",100.0,add metro area
"Kansas City, MO-KS","Kansas City, MO-KS","Kansas City, MO-KS Metro Area, MO",100.0,add metro area
"St. Joseph, MO-KS","St. Joseph, MO-KS","St. Joseph, MO-KS Metro Area, MO",100.0,add metro area
"St. Louis, MO-IL","St. Louis, MO-IL","St. Louis, MO-IL Metro Area, MO",100.0,add metro area
"Springfield, MO","Springfield, MO","Springfield, MO",100.0,exact
"Billings, MT","Billings, MT","Billings, MT",100.0,exact
"Bozeman, MT","Bozeman, MT","Bozeman, MT",100.0,exact
"Great Falls, MT","Great Falls, MT","Great Falls, MT",100.0,exact
"Helena, MT","Helena, MT","Helena, MT",100.0,exact
"Missoula, MT","Missoula, MT","Missoula, MT",100.0,exact
"Grand Island, NE","Grand Island, NE","Grand Island, NE",100.0,exact
"Lincoln, NE","Lincoln, NE","Lincoln, NE",100.0,exact
"Omaha, NE-IA","Omaha, NE-IA","Omaha, NE-IA Metro Area, NE",100.0,add metro area
"Carson City, NV","Carson City, NV","Carson City, NV",100.0,exact
"Las Vegas-Henderson-North Las Vegas, NV","Las Vegas-Henderson-North Las Vegas, NV","Las Vegas-Henderson-North Las Vegas, NV",100.0,exact
"Reno, NV","Reno, NV","Reno, NV",100.0,exact
"Manchester-Nashua, NH","Manchester-Nashua, NH","Manchester-Nashua, NH",100.0,exact
"Rockingham County-Strafford County, NH Metropolitan Division","Boston-Cambridge-Newton, MA-NH","Boston-Cambridge-Newton, MA-NH Metro Area, MA",100.0,add metro area
"Atlantic City-Hammonton, NJ","Atlantic City-Hammonton, NJ","Atlantic City-Hammonton, NJ",100.0,exact
"Camden, NJ Metropolitan Division","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area, PA",100.0,add metro area
"Lakewood-New Brunswick, NJ Metropolitan Division","New York-Newark-Jersey City, NY-NJ","New York-Newark-Jersey City, NY-NJ Metro Area, NY",100.0,add metro area
"Newark, NJ Metropolitan Division","New York-Newark-Jersey City, NY-NJ","New York-Newark-Jersey City, NY-NJ Metro Area, NY",100.0,add metro area
"Trenton-Princeton, NJ","Trenton-Princeton, NJ","Trenton-Princeton, NJ",100.0,exact
"Vineland, NJ","Vineland, NJ","Vineland, NJ",100.0,exact
"Albuquerque, NM","Albuquerque, NM","Albuquerque, NM",100.0,exact
"Farmington, NM","Farmington, NM","Farmington, NM",100.0,exact
"Las Cruces, NM","Las Cruces, NM","Las Cruces, NM",100.0,exact
"Santa Fe, NM","Santa Fe, NM","Santa Fe, NM",100.0,exact
"Albany-Schenectady-Troy, NY","Albany-Schenectady-Troy, NY","Albany-Schenectady-Troy, NY",100.0,exact
"Binghamton, NY","Binghamton, NY","Binghamton, NY",100.0,exact
"Buffalo-Cheektowaga, NY","Buffalo-Cheektowaga, NY","Buffalo-Cheektowaga, NY",100.0,exact
"Elmira, NY","Elmira, NY","Elmira, NY",100.0,exact
"Glens Falls, NY","Glens Falls, NY","Glens Falls, NY",100.0,exact
"Ithaca, NY","Ithaca, NY","Ithaca, NY",100.0,exact
"Kingston, NY","Kingston, NY","Kingston, NY",100.0,exact
"Kiryas Joel-Poughkeepsie-Newburgh, NY","Kiryas Joel-Poughkeepsie-Newburgh, NY","Kiryas Joel-Poughkeepsie-Newburgh, NY",100.0,exact
"Nassau County-Suffolk County, NY Metropolitan Division","New York-Newark-Jersey City, NY-NJ","New York-Newark-Jersey City, NY-NJ Metro Area, NY",100.0,add metro area
"New York-Jersey City-White Plains, NY-NJ Metropolitan Division","New York-Newark-Jersey City, NY-NJ","New York-Newark-Jersey City, NY-NJ Metro Area, NY",100.0,add metro area
"New York-Newark-Jersey City, NY-NJ","New York-Newark-Jersey City, NY-NJ","New York-Newark-Jersey City, NY-NJ Metro Area, NY",100.0,add metro area
"Rochester, NY","Rochester, NY","Rochester, NY",100.0,exact
"Syracuse, NY","Syracuse, NY","Syracuse, NY",100.0,exact
"Utica-Rome, NY","Utica-Rome, NY","Utica-Rome, NY",100.0,exact
"Watertown-Fort Drum, NY","Watertown-Fort Drum, NY","Watertown-Fort Drum, NY",100.0,exact
"New York City, NY","New York City, NY","New York-Newark-Jersey City, NY-NJ Metro Area, NY",100.0,fuzzy
"Asheville, NC","Asheville, NC","Asheville, NC",100.0,exact
"Burlington, NC","Burlington, NC","Burlington, NC",100.0,exact
"Charlotte-Concord-Gastonia, NC-SC","Charlotte-Concord-Gastonia, NC-SC","Charlotte-Concord-Gastonia, NC-SC Metro Area, NC",100.0,add metro area
"Durham-Chapel Hill, NC","Durham-Chapel Hill, NC","Durham-Chapel Hill, NC",100.0,exact
"Fayetteville, NC","Fayetteville, NC","Fayetteville, NC",100.0,exact
"Goldsboro, NC","Goldsboro, NC","Goldsboro, NC",100.0,exact
"Greensboro-High Point, NC","Greensboro-High Point, NC","Greensboro-High Point, NC",100.0,exact
"Greenville, NC","Greenville, NC","Greenville, NC",100.0,exact
"Hickory-Lenoir-Morganton, NC","Hickory-Lenoir-Morganton, NC","Hickory-Lenoir-Morganton, NC",100.0,exact
"Jacksonville, NC","Jacksonville, NC","Jacksonville, NC",100.0,exact
"Pinehurst-Southern Pines, NC","Pinehurst-Southern Pines, NC","Pinehurst-Southern Pines, NC",100.0,exact
"Raleigh-Cary, NC","Raleigh-Cary, NC","Raleigh-Cary, NC",100.0,exact
"Rocky Mount, NC","Rocky Mount, NC","Rocky Mount, NC",100.0,exact
